Timestamp,Phone_Usage,Hours_Slept
11/1/2023 7:08:23,Yes,8
11/1/2023 7:53:52,Yes,6
11/1/2023 9:15:17,Yes,8
11/1/2023 16:24:46,Yes,7
11/1/2023 16:35:16,Yes,8
11/1/2023 23:52:21,No,7
11/1/2023 23:52:32,Yes,8
11/1/2023 23:52:53,Yes,3
11/1/2023 23:53:06,No,8
11/1/2023 23:53:13,Yes,6
11/1/2023 23:53:22,Yes,3
11/1/2023 23:53:26,Yes,3
11/1/2023 23:53:32,Yes,5
11/1/2023 23:53:38,Yes,7
11/1/2023 23:54:03,Yes,8
11/1/2023 23:54:17,Yes,4
11/1/2023 23:54:37,No,12
11/1/2023 23:54:58,Yes,5
11/1/2023 23:55:05,Yes,6
11/1/2023 23:55:12,Yes,7
11/1/2023 23:55:19,Yes,6
11/1/2023 23:55:23,Yes,8
11/1/2023 23:55:29,Yes,7
11/1/2023 23:55:33,Yes,3
